id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
5CDTW,Merrell Moab Speed Gore-Tex® Hiking Shoes - Waterproof (For Men),Merrell,Men's & Women's Hiking Boots/Men's Hiking Boots,5CDTW-01-13-M,69.99,69.99,69.99,36,223,6,https://www.sierra.com/merrell-moab-speed-gore-tex-hiking-shoes-waterproof-for-men~p~5cdtw/?filterString=newproducts~14%2Factivities~d~14342%2F
4DMFK,Scientific Anglers Mastery Textured Trout Fly Line - Weight Forward,Scientific Anglers,Fishing & Fly Lines,4DMFK-01-4,49.99,49.99,49.99,44,157,27,https://www.sierra.com/scientific-anglers-mastery-textured-trout-fly-line-weight-forward~p~4dmfk/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHF,Mad Man 20 L Dry Gear Daypack - Black,Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHF-02,14.99,14.99,14.99,50,50,50,https://www.sierra.com/mad-man-20-l-dry-gear-daypack-black~p~3rthf/?filterString=newproducts~14%2Factivities~d~14342%2F
2FYYN,Altra Torin 6 Running Shoes - Wide Width (For Women),Altra,Women's Running Shoes,2FYYN-01-10-W,59.99,59.99,59.99,42,294,34,https://www.sierra.com/altra-torin-6-running-shoes-wide-width-for-women~p~2fyyn/?filterString=newproducts~14%2Factivities~d~14342%2F
3GYGW,Saucony Endorphin Shift 3 Running Shoes (For Women),Saucony,Women's Running Shoes,3GYGW-01-5.5-M,69.99,69.99,69.99,30,324,2,https://www.sierra.com/saucony-endorphin-shift-3-running-shoes-for-women~p~3gygw/?filterString=newproducts~14%2Factivities~d~14342%2F
5AHMV,Icebreaker Hike Shorts - Merino Wool,Icebreaker,Women's Casual Shorts,5AHMV-01-27,49.99,49.99,49.99,72,286,26,https://www.sierra.com/icebreaker-hike-shorts-merino-wool~p~5ahmv/?filterString=newproducts~14%2Factivities~d~14342%2F
4AJPC,Altra VIA Olympus Running Shoes (For Men),Altra,Men's Running Shoes,4AJPC-01-10.5-M,69.99,69.99,69.99,46,208,51,https://www.sierra.com/altra-via-olympus-running-shoes-for-men~p~4ajpc/?filterString=newproducts~14%2Factivities~d~14342%2F
4UDMF,Salomon Hiking Shoes (For Men),Salomon,Men's & Women's Hiking Shoes/Men's Hiking Shoes,4UDMF-01-10.5-M,59.99,59.99,59.99,50,411,47,https://www.sierra.com/salomon-hiking-shoes-for-men~p~4udmf/?filterString=newproducts~14%2Factivities~d~14342%2F
3KCYX,Saucony Trail Running Shoes (For Men),Saucony,Men's Running Shoes,3KCYX-01-10-M,59.99,59.99,59.99,40,405,58,https://www.sierra.com/saucony-trail-running-shoes-for-men~p~3kcyx/?filterString=newproducts~14%2Factivities~d~14342%2F
5CDMF,Merrell Moab 3 Hiking Shoes (For Men),Merrell,Men's & Women's Hiking Shoes/Men's Hiking Shoes,5CDMF-01-10.5-W,59.99,59.99,59.99,50,422,16,https://www.sierra.com/merrell-moab-3-hiking-shoes-for-men~p~5cdmf/?filterString=newproducts~14%2Factivities~d~14342%2F
4HVDA,Simms Guide Classic Gore-Tex® Stockingfoot Waders - Waterproof (For Men),Simms,Waders & Wading Boots,4HVDA-01-MS9/11,299.99,299.99,299.99,45,135,1,https://www.sierra.com/simms-guide-classic-gore-tex-stockingfoot-waders-waterproof-for-men~p~4hvda/?filterString=newproducts~14%2Factivities~d~14342%2F
4NDXM,VivoBarefoot Novus Mid Training Shoes - Leather (For Women),VivoBarefoot,Women's Cross-Training Shoes/Women's Running Shoes,4NDXM-01-39-M,79.99,79.99,79.99,38,19,6,https://www.sierra.com/vivobarefoot-novus-mid-training-shoes-leather-for-women~p~4ndxm/?filterString=newproducts~14%2Factivities~d~14342%2F
4YTGY,90 Degree by Reflex Hampton Interlock Sport Joggers,90 Degree by Reflex,Women's Joggers,4YTGY-02-XL,16.99,16.99,16.99,43,93,12,https://www.sierra.com/90-degree-by-reflex-hampton-interlock-sport-joggers~p~4ytgy/?filterString=newproducts~14%2Factivities~d~14342%2F
4TAVF,"Diadora Brasil Elite GR LT LP12 Cleats - Leather, Firm Ground (For Men)",Diadora,Men's Cross-Training Shoes/Men's Golf & Tennis Shoes,4TAVF-01-12,39.99,39.99,39.99,65,45,7,https://www.sierra.com/diadora-brasil-elite-gr-lt-lp12-cleats-leather-firm-ground-for-men~p~4tavf/?filterString=newproducts~14%2Factivities~d~14342%2F
4YNCC,Montana Fly Company Baltz’s Tungsten Bronzeback Nymph Fly - Dozen,Montana Fly Company,Fishing Flies,4YNCC-01-18,14.99,14.99,14.99,58,9,9,https://www.sierra.com/montana-fly-company-baltzs-tungsten-bronzeback-nymph-fly-dozen~p~4yncc/?filterString=newproducts~14%2Factivities~d~14342%2F
5GHFT,RMU Tailgate Locker - Large,RMU,Bike Accessories,5GHFT-02-L,179.99,179.99,179.99,24,29,29,https://www.sierra.com/rmu-tailgate-locker-large~p~5ghft/?filterString=newproducts~14%2Factivities~d~14342%2F
4RXJF,Peak Refuel Breakfast Skillet Meal - 2 Servings,Peak Refuel,Camp Food,4RXJF-01,11.99,11.99,11.99,20,144,144,https://www.sierra.com/peak-refuel-breakfast-skillet-meal-2-servings~p~4rxjf/?filterString=newproducts~14%2Factivities~d~14342%2F
